id_transacao,nome_transacao,descricao,created_at,updated_at
2,PRFA,Produto Fatura,2024-06-05 14:58:50.369386,2024-06-05 14:58:50.369386
3,DEFO,Desconto em Folha,2024-06-05 14:58:50.369386,2024-06-05 14:58:50.369386
4,PEFI,Pessoa Física,2024-06-05 14:58:50.369386,2024-06-05 14:58:50.369386
5,PEJU,Pessoa Jurídica,2024-06-05 14:58:50.369386,2024-06-18 14:35:22.828000
1,RKPC,Risk Price,2024-06-05 14:58:50.369386,2024-06-19 02:29:43.006000
